*** 5/14/2021 8:22:22 PM VAdvantage Log  ***
08:22:22.222    (INFO)     MSession.Logout: 02:00:04.247
08:22:25.222    (INFO)     MRole.Get: AD_Role_ID=102, AD_User_ID=101, reload=True
08:22:25.222    (INFO)     MRole.Get: MRole[102,IdeasInc Admin,UserLevel= CO,AD_Client_ID IN (0,11),]
08:22:25.222    (INFO)     MTree.Load: AD_Tree_ID=121, AD_User_ID=101, Editable=False, OnClient=True
08:22:25.222    (INFO)     Trx.Start: **** ConnSH637566205458241590System.Random
08:22:25.222    (INFO)     Trx.Commit: **C** ConnSH637566205458241590System.Random
----------->     (WARNING)  AccessSqlParser.GetTableInfo: More than one FROM clause - SELECT AppointmentsInfo.Appointmentsinfo_id AS ID,AppointmentsInfo.AD_Client_ID,AppointmentsInfo.AD_Org_ID  FROM AppointmentsInfo JOIN AD_User ON AD_User.AD_User_ID =AppointmentsInfo.CreatedBy WHERE AppointmentsInfo.IsRead='N' AND AppointmentsInfo.istask ='N'  AND AppointmentsInfo.AD_User_ID  = 101  UNION SELECT AppointmentsInfo.Appointmentsinfo_id AS ID, AppointmentsInfo.AD_Client_ID,AppointmentsInfo.AD_Org_ID FROM AppointmentsInfo  JOIN AD_User ON AD_User.AD_User_ID = AppointmentsInfo.CreatedBy  WHERE (AppointmentsInfo.IsRead ='Y'   AND AppointmentsInfo.AD_User_ID = 101 )  AND AppointmentsInfo.istask ='N'  AND AppointmentsInfo.startDate BETWEEN to_date('5/13/21','mm/dd/yy') and to_date('5/21/21 23.59','mm/dd/yy HH24:MI')   OR  to_date('5/14/21','mm/dd/yy')  BETWEEN  AppointmentsInfo.startDate  AND AppointmentsInfo.endDate  AND  AppointmentsInfo.CreatedBy  !=101 AND AppointmentsInfo.AD_User_ID  = 101)
----------->     (WARNING)  AccessSqlParser.GetTableInfo: Could not remove ON AppointmentsInfo JOIN AD_User ON AD_User.AD_User_ID =AppointmentsInfo.CreatedBy
08:22:31.223    (INFO)     MSession.Logout: 02:00:06.447
08:22:33.223    (INFO)     MRole.Get: AD_Role_ID=0, AD_User_ID=100, reload=True
08:22:33.223    (INFO)     MRole.Get: MRole[0,System Administrator,UserLevel=S  ,AD_Client_ID=0,AD_Org_ID=0]
08:22:33.223    (INFO)     MRole.Get: AD_Role_ID=0, AD_User_ID=100, reload=True
08:22:33.223    (INFO)     MRole.Get: MRole[0,System Administrator,UserLevel=S  ,AD_Client_ID=0,AD_Org_ID=0]
08:22:33.223    (INFO)     MTree.Load: AD_Tree_ID=121, AD_User_ID=100, Editable=False, OnClient=True
08:22:33.223    (INFO)     Trx.Start: **** ConnSH637566205533765103System.Random
08:22:33.223    (INFO)     Trx.Commit: **C** ConnSH637566205533765103System.Random
